latitude,longitude,datetime,value
24.535005,118.113428,15-Sep-2016 14:00:00,0.367445
24.535005,118.114412,12-Sep-2016 06:00:00,1.925196
24.535005,118.114412,15-Sep-2016 07:30:00,1.127237
24.535005,118.114412,17-Sep-2016 20:00:00,4.517767
24.535005,118.114412,23-Sep-2016 16:00:00,0.902708
24.535005,118.127198,14-Sep-2016 17:00:00,10.998739
24.535005,118.133099,22-Sep-2016 18:00:00,0.180795
24.535005,118.144901,23-Sep-2016 11:30:00,0.602913
24.535005,118.147852,23-Sep-2016 14:00:00,0.247429
24.534107,118.114412,17-Sep-2016 21:30:00,0.386574
24.534107,118.129165,15-Sep-2016 15:30:00,1.255825
24.534107,118.129165,15-Sep-2016 17:30:00,4.079005
24.534107,118.129165,16-Sep-2016 08:30:00,0.830670
24.534107,118.129165,16-Sep-2016 09:00:00,3.731992
24.534107,118.130148,06-Sep-2016 10:00:00,0.033615
24.534107,118.131132,16-Sep-2016 07:30:00,2.766813
24.534107,118.140967,09-Sep-2016 11:00:00,2.540891
24.534107,118.140967,27-Sep-2016 13:00:00,3.425247
24.534107,118.164572,26-Sep-2016 09:00:00,7.923602
24.534107,118.164572,26-Sep-2016 09:30:00,4.145436
24.534107,118.180309,11-Sep-2016 03:00:00,1.090068
24.534107,118.180309,18-Sep-2016 23:00:00,1.808366
24.534107,118.181292,19-Sep-2016 22:30:00,1.490239
24.534107,118.184243,17-Sep-2016 12:30:00,2.511497
24.534107,118.185226,19-Sep-2016 13:00:00,14.202997
24.534107,118.186210,08-Sep-2016 14:30:00,0.683219
24.533210,118.090807,14-Sep-2016 22:30:00,4.052989
24.533210,118.090807,14-Sep-2016 23:00:00,16.156626
24.533210,118.129165,30-Sep-2016 16:00:00,5.548971
24.533210,118.130148,08-Sep-2016 05:30:00,1.679003
24.533210,118.130148,26-Sep-2016 05:30:00,0.347580
24.533210,118.185226,07-Sep-2016 16:00:00,2.031663
24.533210,118.185226,08-Sep-2016 09:30:00,1.531580
24.533210,118.185226,18-Sep-2016 00:30:00,0.496245
24.533210,118.185226,18-Sep-2016 01:00:00,1.371993
24.533210,118.185226,19-Sep-2016 14:00:00,3.309988
24.532312,118.090807,14-Sep-2016 20:30:00,11.311662
24.532312,118.090807,15-Sep-2016 00:30:00,32.959078
24.532312,118.090807,27-Sep-2016 20:30:00,15.216797
24.532312,118.115395,16-Sep-2016 07:00:00,0.031468
24.532312,118.115395,16-Sep-2016 07:30:00,2.552809
24.532312,118.129165,07-Sep-2016 13:00:00,6.106740
24.532312,118.129165,16-Sep-2016 08:00:00,2.627589
24.532312,118.129165,19-Sep-2016 08:00:00,3.571217
24.532312,118.129165,27-Sep-2016 10:30:00,0.093521
24.532312,118.129165,30-Sep-2016 10:30:00,0.679784
24.532312,118.130148,02-Sep-2016 06:00:00,1.411208
24.532312,118.130148,07-Sep-2016 05:30:00,0.385965
24.532312,118.130148,07-Sep-2016 12:30:00,0.401193
